tamilnadu,south,north
611103,506302,141125
611104,506302,141125
611104,506302,141126
611104,506303,141126
611104,506303,141127
611104,506310,141127
611105,506310,141127
611105,506310,141201
611105,506310,141202
611105,506310,141203
611105,506313,141203
611105,506313,141204
611106,506313,141204
611106,506313,141205
611106,506313,141206
611106,506314,141206
611108,506314,141206
611108,506314,141401
611108,506315,141401
611108,506315,141411
611108,506316,141411
611108,506316,141412
611108,506317,141412
611108,506318,141412
611108,506318,141413
611108,506319,141413
611108,506319,141414
611108,506324,141414
611109,506324,141414
611109,506324,141415
611109,506329,141415
611109,506329,141416
611109,506330,141416
611109,506330,141417
611110,506331,141417
611110,506331,141418
611110,506331,141419
611110,506331,141421
611111,506331,141421
611111,506331,141422
611111,506332,141422
611111,506332,141801
611111,506342,141801
611111,506342,142001
611111,506342,142002
611111,506343,142002
611112,506343,142003
611112,506344,142003
611112,506344,142011
611112,506344,142021
611112,506344,142022
611112,506344,142023
611112,506344,142024
611112,506344,142025
611112,506345,142025
611112,506345,142026
611112,506347,142026
611112,506347,142027
611112,506347,142028
611112,506347,142029
611112,506347,142030
612001,506347,142030
612001,506347,142031
612001,506348,142031
612001,506348,142032
612002,506348,142032
612101,506348,142032
612101,506349,142033
612102,506349,142033
612102,506352,142033
612102,506355,142033
612103,506355,142033
612103,506355,142034
612104,506355,142034
612104,506355,142035
612104,506356,142035
612105,506356,142035
612105,506356,142036
612106,506356,142036
612106,506356,142037
612106,506356,142038
612201,506356,142038
612201,506365,142039
612202,506365,142039
612202,506365,142040
612202,506366,142040
612202,506366,142041
612203,506366,142041
612203,506366,142042
612203,506367,142042
612203,506368,142042
612204,506368,142043
612204,506369,142043
612301,506369,142043
612301,506370,142043
612301,506371,142043
612301,506381,142043
612302,506381,142043
612303,506381,142043
612303,506391,142043
612401,506391,142043
612401,507001,142043
612401,507002,142043
612402,507002,142043
612402,507002,142044
612402,507003,142044
612501,507003,142044
612502,507003,142044
612502,507101,142044
612502,507103,142044
612502,507111,142044
612502,507114,142044
612503,507114,142044
612503,507114,142045
612503,507114,142046
612503,507114,142047
612504,507114,142047
612504,507115,142047
612601,507115,142047
612601,507115,142048
612602,507115,142048
612602,507115,142049
612603,507115,142049
612603,507115,142050
612604,507115,142050
612604,507115,142052
612605,507115,142052
612605,507115,142053
612605,507115,142054
612610,507115,142054
612610,507116,142055
612610,507116,142056
612701,507117,142056
612701,507117,142057
612702,507117,142058
612703,507117,142058
612703,507117,142060
612801,507117,142060
612801,507117,143001
612801,507117,143002
612801,507117,143005
612801,507117,143006
612802,507117,143006
612802,507117,143008
612802,507117,143009
612803,507117,143009
612803,507117,143022
612803,507117,143101
612804,507118,143101
612804,507119,143101
612804,507120,143101
612804,507120,143102
612901,507120,143102
612902,507120,143102
612902,507121,143102
612903,507121,143102
612903,507122,143102
612904,507122,143102
612904,507123,143102
612904,507123,143103
612905,507123,143103
613001,507123,143103
613002,507123,143103
613002,507123,143105
613003,507123,143105
613004,507123,143105
613005,507123,143105
613006,507123,143105
613006,507123,143107
613007,507123,143107
613008,507123,143107
613009,507123,143107
613010,507123,143107
613101,507123,143107
613101,507123,143108
613102,507123,143108
613103,507123,143108
613104,507123,143108
613104,507124,143108
613104,507124,143109
613105,507124,143109
613105,507125,143109
613105,507128,143109
613201,507128,143109
613202,507128,143109
613203,507128,143109
613203,507133,143109
613204,507133,143109
613204,507133,143111
613205,507133,143111
613205,507135,143111
613301,507135,143111
613301,507135,143112
613301,507135,143113
613301,507136,143113
613301,507136,143114
613303,507136,143114
613303,507136,143115
613401,507136,143115
613402,507136,143115
613402,507136,143116
613403,507136,143116
613501,507136,143116
613501,507137,143116
613501,507137,143117
613502,507137,143117
613502,507137,143118
613502,507137,143119
613503,507137,143119
613504,507137,143119
613504,507137,143149
613601,507137,143149
613601,507137,143201
613602,507137,143201
613602,507137,143202
613602,507140,143202
613602,507140,143203
613701,507140,143203
613701,507140,143204
613701,507140,143205
613701,507154,143205
613701,507157,143205
613701,507157,143301
613701,507158,143301
613701,507158,143302
613701,507159,143302
613702,507159,143302
613702,507160,143302
613703,507160,143302
613703,507160,143303
613703,507161,143303
613703,507161,143304
613704,507161,143304
613705,507161,143304
613705,507161,143305
613705,507163,143305
614001,507163,143305
614001,507164,143305
614013,507164,143305
614013,507164,143401
614014,507164,143401
614014,507165,143401
614015,507165,143401
614015,507165,143402
614016,507165,143402
614016,507166,143402
614017,507166,143406
614018,507166,143406
614018,507167,143406
614018,507167,143407
614018,507167,143408
